Beta.diagnosis..log2.fold.change..ASD.vs..CTL.	SE.diagnosis	Pval.diagnosis	FDR.adjusted.Pval.diagnosis	Mean.RPM
hsa-let-7a-5p	-0.109880963	0.049220268	0.029918255	0.162783886	22414.3
hsa-let-7a-3p	-0.119866709	0.086041749	0.169509861	0.417209131	28.7
hsa-let-7b-5p	-0.007699434	0.081492351	0.925090643	0.970997933	5753.7
hsa-let-7b-3p	0.118766901	0.145791102	0.41899513	0.689123755	11
hsa-let-7c-5p	0.087064183	0.055993694	0.126037433	0.352400664	5737.8
hsa-let-7c-3p	0.160945597	0.132166094	0.228815081	0.490725432	2.7
hsa-let-7d-5p	-0.094556323	0.064354864	0.147777003	0.387799748	783.5
hsa-let-7d-3p	0.090074966	0.075221005	0.23655329	0.498101467	26.9
hsa-let-7e-5p	-0.183960166	0.065383114	0.006899726	0.065932071	1644.9
hsa-let-7e-3p	0.257636329	0.131702994	0.055823712	0.21665973	7.7
hsa-let-7f-5p	-0.212506694	0.103049525	0.04420337	0.193113473	21205.5
hsa-let-7f-2-3p	0.141075012	0.129489369	0.280969158	0.538515687	4.8
hsa-let-7g-5p	-0.006643901	0.050304803	0.895436348	0.965910505	6190.5
hsa-let-7g-3p	0.400770958	0.091747812	6e-05	0.003226404	11.6
hsa-let-7i-5p	-0.075790049	0.058806354	0.203169526	0.464720797	5687.7
hsa-let-7i-3p	-0.070085204	0.096002513	0.468644912	0.71365584	18.9
hsa-miR-1	0.057958736	0.148115929	0.697169513	0.874903931	8.2
hsa-miR-100-5p	0.117775595	0.090670396	0.199694197	0.461942763	3147.4
hsa-miR-100-3p	-0.033056861	0.122869513	0.788963238	0.918936567	3.2
hsa-miR-101-5p	-0.00858231	0.05221962	0.870092575	0.951791408	80
hsa-miR-101-3p	-0.135673396	0.046694011	0.005373178	0.056906843	9408.9
hsa-miR-103a-3p	0.168883759	0.062491985	0.009273668	0.076262278	9887.3
hsa-miR-103a-2-5p	0.309801408	0.11332373	0.008538589	0.071053259	2.4
hsa-miR-105-5p	0.174760134	0.102346399	0.093687278	0.284783033	8.6
hsa-miR-105-3p	0.278992156	0.096280298	0.005490425	0.057280701	4.1
hsa-miR-106a-5p	0.232703424	0.103241383	0.0284388	0.160312265	12.3
hsa-miR-106b-5p	0.005662795	0.057362486	0.921740575	0.970997933	140.7
hsa-miR-106b-3p	0.140198864	0.088951869	0.121063008	0.343996107	58.4
hsa-miR-107	0.280419241	0.09144836	0.003433319	0.043468389	2630.7
hsa-miR-10a-5p	0.497131661	0.164340449	0.003857922	0.046494606	178.4
hsa-miR-10b-5p	-0.083360348	0.159978306	0.604528112	0.811065547	162.4
hsa-miR-1179	0.064986542	0.076400218	0.398887698	0.667374388	20.4
hsa-miR-1180-3p	0.072392614	0.135797957	0.596241993	0.803884564	39.4
hsa-miR-1185-5p	-0.103024058	0.064859397	0.118253562	0.338767375	83.9
hsa-miR-1185-1-3p	0.033825798	0.138838637	0.808473008	0.929144516	9.2
hsa-miR-1197	0.06024759	0.095232695	0.52974387	0.752765911	34.6
hsa-miR-1224-5p	0.283771836	0.133315067	0.038046299	0.181729751	7.3
hsa-miR-124-5p	-0.038088623	0.067702756	0.576134333	0.784933351	66.6
hsa-miR-124-3p	-0.083512986	0.07871528	0.293615521	0.552236814	11729.1
hsa-miR-1243	0.20292019	0.102175944	0.052317988	0.20670285	4.1
hsa-miR-1249	0.248890492	0.167191811	0.142618975	0.381956566	9.1
hsa-miR-1250-5p	-0.090996177	0.170991186	0.596875664	0.803884564	5.1
hsa-miR-1251-5p	-0.002995162	0.129707866	0.981665594	0.995913281	10.6
hsa-miR-1252-5p	0.001117481	0.105013395	0.991550337	0.998137282	10
hsa-miR-1258	0.058764253	0.148156994	0.693259735	0.873132531	1.6
hsa-miR-125a-5p	0.056804053	0.053571995	0.29389427	0.552236814	6046.3
hsa-miR-125a-3p	0.152243325	0.137121512	0.271986111	0.532156386	2.6
hsa-miR-125b-5p	0.077254233	0.059466117	0.199630101	0.461942763	5474.5
hsa-miR-125b-1-3p	0.036303011	0.075803267	0.634009789	0.825291046	192.8
hsa-miR-125b-2-3p	0.006511784	0.065288303	0.920935147	0.970997933	1216.3
hsa-miR-126-5p	-0.002248596	0.068438891	0.973915587	0.992128191	11744.9
hsa-miR-126-3p	0.067157795	0.088289817	0.450300645	0.703701069	2286.8
hsa-miR-1264	0.226878293	0.129981749	0.086811125	0.27333773	8
hsa-miR-127-5p	-0.0414886	0.050325598	0.413475919	0.681650158	224.2
hsa-miR-127-3p	-0.049336686	0.049395434	0.322511764	0.592146967	16336.8
hsa-miR-1270	0.262003395	0.166086536	0.120742674	0.343996107	2.9
hsa-miR-1271-5p	0.098204187	0.122294118	0.425620517	0.692042775	5.3
hsa-miR-1273h-3p	0.198357237	0.149765924	0.191145969	0.448359169	2.3
hsa-miR-1277-5p	0.0298055	0.026489944	0.265686742	0.525249753	23
hsa-miR-1277-3p	0.376256101	0.118540135	0.002525265	0.036774179	1.6
hsa-miR-128-1-5p	0.054292735	0.165357634	0.743976739	0.899661728	121.4
hsa-miR-128-3p	0.042440923	0.114742464	0.712974232	0.888358268	16208.5
hsa-miR-128-2-5p	0.054629325	0.135632372	0.688764927	0.870633232	10.2
hsa-miR-1283	0.005487118	0.17684608	0.975366277	0.992128191	4.7
hsa-miR-1285-3p	0.152022638	0.081719738	0.068503772	0.241841257	14.8
hsa-miR-1286	0.145063347	0.07405202	0.055492347	0.21665973	16.3
hsa-miR-1287-5p	-0.200033366	0.110241706	0.075371525	0.255577482	14
hsa-miR-129-5p	0.05375455	0.067333907	0.428311136	0.692042775	557.2
hsa-miR-129-1-3p	0.019589415	0.09921429	0.844248707	0.942679933	27.7
hsa-miR-129-2-3p	0.27782801	0.087090265	0.00241116	0.036639152	50.7
hsa-miR-1296-5p	-0.012693448	0.094045488	0.893155615	0.965302486	1262.1
hsa-miR-1296-3p	0.028062975	0.150197239	0.852512511	0.942679933	4.9
hsa-miR-1298-5p	0.000113448	0.123598888	0.999271153	0.999271153	19.2
hsa-miR-1298-3p	0.09182578	0.093189035	0.329004656	0.599217712	39.1
hsa-miR-1299	-0.976024643	0.376562451	0.012360605	0.093913727	18.8
hsa-miR-1301-3p	0.162239724	0.06495778	0.015705471	0.107628666	38.1
hsa-miR-1306-5p	-0.076433425	0.130668219	0.561115936	0.774011014	1.5
hsa-miR-1307-5p	-0.005517185	0.127973197	0.96577735	0.98960925	2126.5
