beta.condition	beta.age	beta.sex	beta.region	beta.RIN	beta.bank	beta.ExonProp	beta.Depth	beta.PMI	SE.condition	SE.age	SE.sex	SE.region	SE.RIN	SE.bank	SE.ExonProp	SE.Depth	SE.PMI	p.condition	p.age	p.sex	p.region	p.RIN	p.bank	p.ExonProp	p.Depth	p.PMI	p.condition.fdr
hsa-P1-can2149-m	0.0240572356740817	0.00501416367134137	0.0319763430434472	-0.132514495951054	0.00173992189342393	-0.0887291436240633	-0.178114586292123	0.733169910649593	0.0173399156453929	0.102378457340786	0.00318618420694356	0.125884939304662	0.0871172292198441	0.0344274549663774	0.119357137248565	1.00026787756873	0.29350605301552	0.00640745276490467	0.815181346456215	0.121859158849704	0.800527632269072	0.142477218108894	0.960149095151561	0.460723347560801	0.860299914081136	0.020457535401075	0.00928469896658718	0.92821628030414
hsa-P1-can29-m	-0.157647977377394	0.0169741851373028	0.297683865340633	0.152024139371911	0.109266228164787	-0.710651539940393	-2.42976495140728	0.00494014550762384	-0.0311163329860577	0.210776535567896	0.00657112922090196	0.26054364919658	0.164549840373747	0.0681958731370913	0.245031009337081	2.02120065139878	0.573036947484648	0.0130924403690701	0.458000567679527	0.0127622975499388	0.258667633142302	0.365572283872988	0.123364483579158	0.00552787268018431	0.242089782845822	0.993199230048748	0.0213393143299867	0.740977490220513
hsa-P1-can473-m	0.10916799951955	-0.00316334893612497	0.451846747075986	0.063926223560212	-0.00843573484534237	0.00708363445896614	3.97584294890564	0.235758185514014	0.0213684156081706	0.175394304039959	0.00545447263051459	0.214968395051837	0.156115022950836	0.0601236000386586	0.204923530202493	1.72891749155052	0.515742611797023	0.0110318910317701	0.536497526743207	0.564549363092098	0.0406189041353814	0.686145797748414	0.889694468289216	0.972562481163712	0.0313342428596045	0.652063995951355	0.0584098020146424	0.779378674760358
hsa-P1-can5850-m	0.295329893588016	0.0044602833149815	0.144175814654297	0.0344319360014841	0.00477893400605326	0.272509078992101	-0.250124317212294	1.62454524276258	0.0120142668578553	0.157611857927676	0.00491989965372459	0.195354575449895	0.116499951951763	0.0496954935357401	0.183019188236189	1.49166392528797	0.413086780859871	0.0097551181190037	0.0668106742376771	0.368977289371162	0.463951491306914	0.77034282742446	0.924260685742827	0.142777571715817	0.868365778513677	0.000710596928957429	0.223864944758674	0.297030895655405
hsa-P1-can5857-m	-0.0236464123901661	0.00613443685781054	-0.10048748200086	0.512658358282152	-0.0682827492198413	-0.350450763495129	1.54318203144467	-0.226669407690161	-0.00927385850854032	0.148346326236198	0.00461289981573633	0.181732993641197	0.13285266941183	0.0509825591030264	0.173379779940778	1.46400161851813	0.437664340383241	0.00933749401325791	0.873995858873101	0.18960466830916	0.582768219157622	0.000850429903721203	0.194135165160061	0.048619495485376	0.303283678922091	0.609692526254209	0.325402151227875	0.954589882133797
hsa-P1-can5861-m	-0.0479256146588323	0.00118357539779352	-0.34996567918784	0.185641114428662	0.00506319731602638	-0.130227612322394	1.42219301613234	-0.863756950168133	0.00847987172640446	0.152405401604325	0.00473749370696907	0.186349168144635	0.139870960720221	0.0529111225174527	0.178380087083853	1.51091545112635	0.455521990030086	0.0096224781741568	0.754479088518484	0.803741228153729	0.0662177861440659	0.198042345012438	0.924631120194402	0.468762229995179	0.356783654596615	0.0711446755369877	0.382395704958847	0.908218226355892
hsa-P1-can5896-m	0.211987734358163	0.00466700734403756	-0.0929491945505551	0.041521544652062	0.00385663958795688	-0.0270428076562901	0.515068918101322	-0.397800614299925	-0.000506334522805389	0.137839955541924	0.00429539917097811	0.170195424298763	0.109789427550587	0.045009995479444	0.160326792774735	1.32783612476814	0.379600241372023	0.00857514523611982	0.130371491086467	0.282462446941473	0.587403810270318	0.70891220675754	0.932492589700509	0.866734321309802	0.701817170678328	0.306040502744035	0.953150231932391	0.396954337015774
hsa-P1-can5917-m	0.0816690101031555	-0.00505612900592757	-0.120745326479467	-0.059350083256468	-0.0207786613294607	0.152283347921544	-1.74100289969962	0.234134833720641	0.00528765037075438	0.114812450369841	0.00358685640505228	0.142509451546943	0.0820640135923699	0.0356125100912275	0.133254154231451	1.0773030961196	0.293905995282146	0.00709339407881384	0.480188145613968	0.164839874855829	0.400876896659766	0.477166108553968	0.565514424693117	0.258562790801247	0.120328998750525	0.434178216555859	0.459499989370112	0.74710341683578
hsa-P1-can5925-m	-0.349817626231216	0.0027860564487773	-0.0608976282339922	-0.051825521735991	-0.026011577596119	0.137951889577752	5.34674125698673	3.04219205799387	0.00153490590600824	0.12645336496642	0.00394605526398495	0.156640718073082	0.0946906027638359	0.0401202215991443	0.146871607445147	1.20062995137188	0.334386774911763	0.00783267109469103	0.00792289496178474	0.483442784209953	0.699095003694612	0.589672524691334	0.523474608979194	0.352108377686161	0.000199372108513849	6.55100070672225e-09	0.84543417121485	0.083156555257937
hsa-P1-can5956-m	0.144772670578009	-0.00956744761968418	-0.359607895441871	-0.120672231020738	-0.0929638628111084	0.00456142544946565	2.81484428319718	-0.437914518837069	-0.0190697727229313	0.131974950135041	0.00411648622612089	0.163324937782878	0.10077155749847	0.0422607313006068	0.153344359323817	1.25898069011364	0.353602949336746	0.00818490985211031	0.277909307134244	0.0242192798046154	0.0323215069631319	0.243861926083893	0.0386251317069702	0.976387814520305	0.0358315961471391	0.228606993633368	0.0238910186821693	0.587820292059704
